age,income,tenure_months,region,segment,risk_score,num_products,is_premium,usage,engagement,complaint_count,credit_util,y,y_class
29.646434246415193,56279.71354107373,42.3787637634588,Midwest,Mass,48.75114380221659,3,0,13.929384071654313,68.40733144053472,1,0.2622357373139505,176.85891760996054,0
39.80765721519782,26532.400128777408,23.089945325272964,Midwest,Mass,55.790417939736344,3,0,47.79976692089474,91.45543474325775,0,0.5641746316469468,308.8731679251081,0
46.320660669751256,77437.16375097222,39.032270215878796,Midwest,Mass,85.10453146344166,3,0,6.928358799481812,77.7213341991951,11,0.482316236592971,498.7880497707423,0
51.849178974585755,24490.29353457096,11.199765538025495,South,Mass,77.62312199021987,1,0,19.73143759634323,41.91115095310321,3,0.2940560199589598,143.63614126788815,1
50.86377681965109,9835.518869395952,14.998840258875328,Midwest,Mass,58.450080666388736,5,0,8.469698234955567,57.33944532438544,2,0.16045178050978368,151.1968375148101,1
40.2109131551884,26456.291515760375,19.303695769839717,Northeast,Mass,53.54936932059754,0,0,22.606979014984105,47.6680997654113,3,0.7976629787289519,510.23133516803534,0
61.72135117500451,73185.91154499837,7.092130470163009,Northeast,Affluent,54.119930010862674,1,0,15.98782931090653,58.230493941303024,0,0.31241966240536523,53.19249688411555,0
42.79696209870249,30708.722811580687,30.70101311637045,South,Mass,39.40240908287091,2,0,19.41342014140418,51.68566121418776,2,0.252759422408122,124.34359416730807,0
40.10365890949532,29074.928981314602,54.24251087787562,West,Mass,73.84800042299096,3,0,14.139249188861942,,0,0.4190864033968249,77.40958027274127,0
36.440900895611826,10575.960435696452,22.546329885303763,South,Affluent,33.73604712789173,1,0,2.0399152623197514,50.82714578362835,0,0.7247195380065666,153.22210540257097,0
19.366939931764826,43006.62026533397,36.61531140960992,South,Mass,51.56575308561651,2,1,13.746351922427714,90.75800397964564,0,0.3030502445459676,64.08983587391248,1
33.396916949181126,36515.56136658442,44.37631825860371,South,Mass,75.91428491996862,4,0,52.48955185757538,51.545609588288414,0,0.12299227766677881,76.30640789062335,1
23.797642360567785,52026.209664105234,28.332891739849924,West,Mass,39.75864983577951,3,0,29.83795319911113,52.77793804694334,2,0.6637090155339327,178.1822114860645,0
23.992977983070773,21509.07122619165,34.00806744763593,South,Mass,48.68044577808143,1,0,97.95356180914277,70.61766176528464,0,0.45331004167315925,21.743427660729353,0
51.31186325062962,44019.470113325195,64.58227136708321,Northeast,Mass,60.3307650176642,3,0,2.591751136323378,60.50813803602234,3,0.7623552323951044,10.724974062583762,0
50.49239706880424,70111.51357422458,26.76124337665476,Northeast,Affluent,61.7216194919836,4,0,34.60279729339148,75.52784786826403,0,0.2544036681214557,68.73731166188863,0
62.165713146174355,43231.14451819403,43.18763397248969,Midwest,Mass,35.25848480019468,1,0,12.772030505181641,71.2417578843465,1,0.1460808639408493,426.81122687092835,0
48.7216567096364,23824.158007103062,14.224585166347666,South,Mass,41.52032511934873,1,1,26.867525919986022,72.52771576957042,0,0.37162725306811495,148.27538578713452,0
59.712439555894434,29212.645727003553,68.57248708894157,Midwest,Affluent,47.52562043926158,3,0,8.625183001432422,60.28453578124368,0,0.40733955623783863,117.7120990177039,0
39.47099384587388,39286.15924074617,19.2161583851169,West,Mass,91.64059043995607,2,1,3.8250920533062454,87.1684478324145,1,0.1864617073862839,107.1144583152575,0
46.362536156841216,37117.032669159235,47.44440117657673,West,Mass,58.074558149998786,3,0,2.4852417827170035,75.5775406959556,2,0.3202720086917837,-0.13890034772444437,0
46.79767962320429,80619.3067621365,15.3033798875356,Midwest,Mass,58.972261279286094,2,0,55.904099903150886,44.87147785536931,0,0.14238442078411084,34.97773730017141,0
25.722023339647283,34021.7877952929,16.332865551648858,Midwest,Mass,53.59514727442891,0,1,28.816265985642627,56.320728508178355,3,0.6947905550633529,104.30807010302111,1
59.95029964168403,16865.55341571997,28.046880927852932,Midwest,Mass,58.30237866175522,0,0,13.210115931985658,78.27082577275085,0,0.4515805672467661,-61.30115557001516,0
22.602720918047176,,56.49241279900943,South,Mass,31.91082904188887,3,1,26.60081237071696,68.61586921643226,0,0.2695690528431222,385.3764754983633,0
46.66641948040223,118668.98013169541,12.62821260758064,South,Mass,44.088802132960055,4,0,30.709551692612084,72.02140836750658,1,0.22422680838309633,285.40737344729706,1
69.6939431748996,,40.72988833596843,South,Mass,50.18623854412573,3,0,3.170244156239227,58.83202566647493,1,0.08148285617730844,108.85396379801499,0
27.405680361815005,30997.44323182818,22.90836117119655,West,Mass,40.768171419782306,0,1,14.078962528479783,27.95160987881316,2,0.7211470821315609,148.98045929986156,0
